date,boarding_count,alighting_count,passenger_count,service_number,bus_stop_id
2022/03/13,3,0,3,17,1
2022/03/13,5,0,8,17,2
2022/03/13,2,0,10,17,3
2022/03/13,6,0,16,17,4
2022/03/13,1,16,1,17,5
2022/03/13,1,0,1,18,1
2022/03/13,1,0,2,18,2
2022/03/13,1,0,3,18,3
2022/03/13,3,0,6,18,4
2022/03/13,0,3,3,18,5
2022/03/13,1,0,1,19,1
2022/03/13,0,0,1,19,2
2022/03/13,0,0,1,19,3
2022/03/13,1,0,2,19,4
2022/03/13,0,1,1,19,5
2022/03/13,0,0,0,20,1
2022/03/13,0,0,0,20,2
2022/03/13,0,0,0,20,3
2022/03/13,5,0,5,20,4
2022/03/13,0,5,0,20,5
2022/03/13,1,0,1,21,1
2022/03/13,2,0,3,21,2
2022/03/13,0,0,3,21,3
2022/03/13,2,0,5,21,4
2022/03/13,0,4,1,21,5
2022/03/13,0,0,0,22,1
2022/03/13,0,0,0,22,2
2022/03/13,0,0,0,22,3
2022/03/13,4,0,4,22,4
2022/03/13,0,0,4,22,5
2022/03/13,1,0,1,23,1
2022/03/13,2,0,3,23,2
2022/03/13,0,0,3,23,3
2022/03/13,7,0,10,23,4
2022/03/13,0,9,1,23,5
2022/03/13,0,0,0,24,1
2022/03/13,0,0,0,24,2
2022/03/13,0,0,0,24,3
2022/03/13,0,0,0,24,4
2022/03/13,0,0,0,24,5
2022/03/13,0,0,0,25,1
2022/03/13,0,0,0,25,2
2022/03/13,0,0,0,25,3
2022/03/13,1,0,1,25,4
2022/03/13,0,1,0,25,5
2022/03/13,0,0,0,26,1
2022/03/13,0,0,0,26,2
2022/03/13,0,0,0,26,3
2022/03/13,0,0,0,26,4
2022/03/13,0,0,0,26,5
2022/03/14,1,0,1,1,1
2022/03/14,1,0,2,1,2
2022/03/14,3,0,5,1,3
2022/03/14,2,0,7,1,4
2022/03/14,0,4,3,1,5
2022/03/14,1,0,1,2,1
2022/03/14,6,0,7,2,2
2022/03/14,2,0,9,2,3
2022/03/14,4,0,13,2,4
2022/03/14,0,9,4,2,5
2022/03/14,1,0,1,3,1
2022/03/14,8,0,9,3,2
2022/03/14,4,0,13,3,3
2022/03/14,6,0,19,3,4
2022/03/14,0,14,5,3,5
2022/03/14,2,0,2,4,1
2022/03/14,4,0,6,4,2
2022/03/14,8,0,14,4,3
2022/03/14,3,0,17,4,4
2022/03/14,0,17,0,4,5
2022/03/14,1,0,1,5,1
2022/03/14,2,0,3,5,2
2022/03/14,7,0,10,5,3
2022/03/14,7,0,17,5,4
2022/03/14,0,14,3,5,5
2022/03/14,0,0,0,6,1
2022/03/14,4,0,4,6,2
2022/03/14,2,0,6,6,3
2022/03/14,7,0,13,6,4
2022/03/14,0,14,-1,6,5
2022/03/14,2,0,2,7,1
2022/03/14,2,0,4,7,2
2022/03/14,2,0,6,7,3
2022/03/14,2,0,8,7,4
2022/03/14,0,7,1,7,5
2022/03/14,2,0,2,8,1
2022/03/14,2,0,4,8,2
2022/03/14,0,0,4,8,3
2022/03/14,7,1,10,8,4
2022/03/14,0,8,2,8,5
2022/03/14,1,0,1,9,1
2022/03/14,2,0,3,9,2
2022/03/14,2,0,5,9,3
2022/03/14,5,0,10,9,4
2022/03/14,0,5,5,9,5
2022/03/14,2,0,2,10,1
2022/03/14,3,0,5,10,2
2022/03/14,1,0,6,10,3
2022/03/14,6,0,12,10,4
2022/03/14,0,8,4,10,5
2022/03/14,3,0,3,11,1
2022/03/14,3,0,6,11,2
2022/03/14,3,0,9,11,3
2022/03/14,7,0,16,11,4
2022/03/14,1,12,5,11,5
2022/03/14,1,0,1,12,1
2022/03/14,1,0,2,12,2
2022/03/14,3,0,5,12,3
2022/03/14,2,0,7,12,4
2022/03/14,0,6,1,12,5
2022/03/14,0,0,0,13,1
2022/03/14,1,0,1,13,2
2022/03/14,0,0,1,13,3
2022/03/14,3,0,4,13,4
2022/03/14,0,4,0,13,5
2022/03/14,0,0,0,14,1
2022/03/14,2,0,2,14,2
2022/03/14,2,0,4,14,3
2022/03/14,1,0,5,14,4
2022/03/14,0,4,1,14,5
2022/03/14,1,0,1,15,1
2022/03/14,1,0,2,15,2
2022/03/14,0,0,2,15,3
2022/03/14,7,0,9,15,4
2022/03/14,0,9,0,15,5
2022/03/14,0,0,0,16,1
2022/03/14,0,0,0,16,2
2022/03/14,0,0,0,16,3
2022/03/14,3,0,3,16,4
2022/03/14,0,1,2,16,5
2022/03/14,3,0,3,17,1
2022/03/14,3,0,6,17,2
2022/03/14,1,0,7,17,3
2022/03/14,6,0,13,17,4
2022/03/14,0,10,3,17,5
2022/03/14,1,0,1,18,1
2022/03/14,0,0,1,18,2
2022/03/14,0,0,1,18,3
2022/03/14,4,0,5,18,4
2022/03/14,0,5,0,18,5
2022/03/14,1,0,1,19,1
2022/03/14,1,0,2,19,2
2022/03/14,3,0,5,19,3
2022/03/14,7,0,12,19,4
2022/03/14,0,10,2,19,5
2022/03/14,4,0,4,20,1
2022/03/14,4,0,8,20,2
2022/03/14,0,0,8,20,3
2022/03/14,4,0,12,20,4
2022/03/14,0,7,5,20,5
2022/03/14,3,0,3,21,1
2022/03/14,1,0,4,21,2
2022/03/14,0,0,4,21,3
2022/03/14,3,0,7,21,4
2022/03/14,0,2,5,21,5
2022/03/14,0,0,0,22,1
2022/03/14,0,0,0,22,2
2022/03/14,0,0,0,22,3
2022/03/14,4,0,4,22,4
2022/03/14,0,3,1,22,5
2022/03/14,0,0,0,23,1
2022/03/14,0,0,0,23,2
2022/03/14,0,0,0,23,3
2022/03/14,5,0,5,23,4
2022/03/14,0,5,0,23,5
2022/03/14,0,0,0,24,1
2022/03/14,0,0,0,24,2
2022/03/14,0,0,0,24,3
2022/03/14,1,0,1,24,4
2022/03/14,0,0,1,24,5
2022/03/14,0,0,0,25,1
2022/03/14,0,0,0,25,2
2022/03/14,0,0,0,25,3
2022/03/14,2,0,2,25,4
2022/03/14,0,0,2,25,5
2022/03/14,1,0,1,26,1
2022/03/14,0,0,1,26,2
2022/03/14,0,0,1,26,3
2022/03/14,1,1,1,26,4
2022/03/14,0,0,1,26,5
2022/03/15,2,0,2,1,1
2022/03/15,4,0,6,1,2
2022/03/15,1,0,7,1,3
2022/03/15,3,0,10,1,4
2022/03/15,0,6,4,1,5
2022/03/15,0,0,0,2,1
2022/03/15,8,0,8,2,2
2022/03/15,0,0,8,2,3
2022/03/15,2,0,10,2,4
2022/03/15,0,6,4,2,5
2022/03/15,1,0,1,3,1
2022/03/15,7,0,8,3,2
2022/03/15,1,0,9,3,3
2022/03/15,7,0,16,3,4
2022/03/15,0,14,2,3,5
2022/03/15,2,0,2,4,1
2022/03/15,5,0,7,4,2
2022/03/15,8,0,15,4,3
2022/03/15,2,0,17,4,4
2022/03/15,0,14,3,4,5
2022/03/15,1,0,1,5,1
2022/03/15,2,0,3,5,2
2022/03/15,5,0,8,5,3
2022/03/15,5,0,13,5,4
2022/03/15,0,8,5,5,5
2022/03/15,0,0,0,6,1
2022/03/15,4,0,4,6,2
2022/03/15,2,0,6,6,3
2022/03/15,4,0,10,6,4
2022/03/15,1,7,4,6,5
2022/03/15,0,0,0,7,1
2022/03/15,3,0,3,7,2
2022/03/15,0,0,3,7,3
2022/03/15,2,0,5,7,4
2022/03/15,0,4,1,7,5
2022/03/15,0,0,0,8,1
2022/03/15,2,0,2,8,2
2022/03/15,1,0,3,8,3
2022/03/15,7,0,10,8,4
2022/03/15,0,7,3,8,5
2022/03/15,2,0,2,9,1
2022/03/15,6,0,8,9,2
2022/03/15,1,0,9,9,3
2022/03/15,12,0,21,9,4
2022/03/15,0,19,2,9,5
2022/03/15,0,0,0,10,1
2022/03/15,5,0,5,10,2
2022/03/15,3,0,8,10,3
2022/03/15,4,0,12,10,4
2022/03/15,0,9,3,10,5
2022/03/15,2,0,2,11,1
2022/03/15,0,0,2,11,2
2022/03/15,4,0,6,11,3
2022/03/15,4,0,10,11,4
2022/03/15,0,9,1,11,5
2022/03/15,2,0,2,12,1
2022/03/15,5,0,7,12,2
2022/03/15,0,0,7,12,3
2022/03/15,2,0,9,12,4
2022/03/15,1,8,2,12,5
2022/03/15,0,0,0,13,1
2022/03/15,0,0,0,13,2
2022/03/15,0,0,0,13,3
2022/03/15,2,0,2,13,4
2022/03/15,0,2,0,13,5
2022/03/15,4,0,4,14,1
2022/03/15,3,0,7,14,2
2022/03/15,1,0,8,14,3
2022/03/15,5,0,13,14,4
2022/03/15,0,8,5,14,5
2022/03/15,2,0,2,15,1
2022/03/15,2,0,4,15,2
2022/03/15,0,0,4,15,3
2022/03/15,9,2,11,15,4
2022/03/15,0,7,4,15,5
2022/03/15,0,0,0,16,1
2022/03/15,1,0,1,16,2
2022/03/15,0,0,1,16,3
2022/03/15,5,0,6,16,4
2022/03/15,0,7,-1,16,5
2022/03/15,7,0,7,17,1
2022/03/15,0,0,7,17,2
2022/03/15,2,0,9,17,3
2022/03/15,8,0,17,17,4
2022/03/15,0,10,7,17,5
2022/03/15,1,0,1,18,1
2022/03/15,1,0,2,18,2
2022/03/15,1,0,3,18,3
2022/03/15,6,0,9,18,4
2022/03/15,0,8,1,18,5
2022/03/15,0,0,0,19,1
2022/03/15,4,0,4,19,2
2022/03/15,1,0,5,19,3
2022/03/15,6,0,11,19,4
2022/03/15,0,8,3,19,5
2022/03/15,1,0,1,20,1
2022/03/15,0,0,1,20,2
2022/03/15,0,0,1,20,3
2022/03/15,5,0,6,20,4
2022/03/15,0,6,0,20,5
2022/03/15,2,0,2,21,1
2022/03/15,0,0,2,21,2
2022/03/15,0,0,2,21,3
2022/03/15,1,0,3,21,4
2022/03/15,0,1,2,21,5
2022/03/15,0,0,0,22,1
2022/03/15,0,0,0,22,2
2022/03/15,0,0,0,22,3
2022/03/15,1,0,1,22,4
2022/03/15,0,1,0,22,5
2022/03/15,2,0,2,23,1
2022/03/15,0,0,2,23,2
2022/03/15,0,0,2,23,3
2022/03/15,2,0,4,23,4
2022/03/15,0,2,2,23,5
2022/03/15,2,0,2,24,1
2022/03/15,5,0,7,24,2
2022/03/15,0,0,7,24,3
2022/03/15,1,0,8,24,4
2022/03/15,0,4,4,24,5
2022/03/15,0,0,0,25,1
2022/03/15,0,0,0,25,2
2022/03/15,0,0,0,25,3
2022/03/15,1,0,1,25,4
2022/03/15,0,1,0,25,5
2022/03/15,1,0,1,26,1
2022/03/15,1,0,2,26,2
2022/03/15,0,0,2,26,3
2022/03/15,1,0,3,26,4
2022/03/15,0,3,0,26,5
2022/03/16,0,0,0,1,1
2022/03/16,1,0,1,1,2
2022/03/16,0,0,1,1,3
2022/03/16,2,0,3,1,4
2022/03/16,0,3,0,1,5
2022/03/16,3,0,3,2,1
2022/03/16,9,0,12,2,2
2022/03/16,0,0,12,2,3
2022/03/16,4,0,16,2,4
2022/03/16,0,14,2,2,5
2022/03/16,0,0,0,3,1
2022/03/16,9,0,9,3,2
2022/03/16,2,0,11,3,3
2022/03/16,4,0,15,3,4
2022/03/16,0,14,1,3,5
2022/03/16,1,0,1,4,1
2022/03/16,6,0,7,4,2
2022/03/16,8,0,15,4,3
2022/03/16,5,0,20,4,4
2022/03/16,0,18,2,4,5
2022/03/16,3,0,3,5,1
2022/03/16,2,0,5,5,2
2022/03/16,5,0,10,5,3
2022/03/16,3,0,13,5,4
2022/03/16,0,7,6,5,5
2022/03/16,0,0,0,6,1
2022/03/16,1,0,1,6,2
2022/03/16,1,0,2,6,3
2022/03/16,2,0,4,6,4
2022/03/16,1,5,0,6,5
2022/03/16,0,0,0,7,1
2022/03/16,1,0,1,7,2
2022/03/16,0,0,1,7,3
2022/03/16,5,0,6,7,4
2022/03/16,0,6,0,7,5
2022/03/16,1,0,1,8,1
2022/03/16,2,0,3,8,2
2022/03/16,2,0,5,8,3
2022/03/16,7,0,12,8,4
2022/03/16,0,7,5,8,5
2022/03/16,1,0,1,9,1
2022/03/16,3,0,4,9,2
2022/03/16,0,0,4,9,3
2022/03/16,8,0,12,9,4
2022/03/16,0,8,4,9,5
2022/03/16,8,0,8,10,1
2022/03/16,2,0,2,10,2
2022/03/16,1,0,3,10,3
2022/03/16,11,0,14,10,4
2022/03/16,0,12,2,10,5
2022/03/16,0,0,0,11,1
2022/03/16,2,0,4,11,2
2022/03/16,0,0,4,11,3
2022/03/16,14,0,18,11,4
2022/03/16,0,15,3,11,5
2022/03/16,2,0,2,12,1
2022/03/16,2,0,2,12,2
2022/03/16,0,0,2,12,3
2022/03/16,2,0,4,12,4
2022/03/16,0,4,0,12,5
2022/03/16,0,0,0,13,1
2022/03/16,1,0,9,13,2
2022/03/16,1,0,10,13,3
2022/03/16,6,0,16,13,4
2022/03/16,0,5,11,13,5
2022/03/16,1,0,1,14,1
2022/03/16,2,0,3,14,2
2022/03/16,0,0,3,14,3
2022/03/16,4,0,7,14,4
2022/03/16,0,5,2,14,5
2022/03/16,2,0,2,15,1
2022/03/16,1,0,3,15,2
2022/03/16,0,0,3,15,3
2022/03/16,8,1,10,15,4
2022/03/16,0,8,2,15,5
2022/03/16,0,0,0,16,1
2022/03/16,3,0,3,16,2
2022/03/16,0,0,3,16,3
2022/03/16,3,0,6,16,4
2022/03/16,0,7,-1,16,5
2022/03/16,5,0,5,17,1
2022/03/16,1,0,6,17,2
2022/03/16,1,0,7,17,3
2022/03/16,8,0,15,17,4
2022/03/16,0,12,3,17,5
2022/03/16,0,0,0,18,1
2022/03/16,3,0,3,18,2
2022/03/16,0,0,3,18,3
2022/03/16,3,0,6,18,4
2022/03/16,0,5,1,18,5
2022/03/16,0,0,0,19,1
2022/03/16,3,0,3,19,2
2022/03/16,1,0,4,19,3
2022/03/16,12,0,16,19,4
2022/03/16,0,15,1,19,5
2022/03/16,0,0,0,20,1
2022/03/16,1,0,1,20,2
2022/03/16,1,0,2,20,3
2022/03/16,5,0,7,20,4
2022/03/16,0,5,2,20,5
2022/03/16,1,0,1,21,1
2022/03/16,1,0,2,21,2
2022/03/16,0,0,2,21,3
2022/03/16,7,0,9,21,4
2022/03/16,0,7,2,21,5
2022/03/16,0,0,0,22,1
2022/03/16,0,0,0,22,2
2022/03/16,0,0,0,22,3
2022/03/16,2,0,2,22,4
2022/03/16,0,0,2,22,5
2022/03/16,0,0,0,23,1
2022/03/16,0,0,0,23,2
2022/03/16,0,0,0,23,3
2022/03/16,2,0,2,23,4
2022/03/16,0,2,0,23,5
2022/03/16,1,0,1,24,1
2022/03/16,0,0,1,24,2
2022/03/16,0,0,1,24,3
2022/03/16,1,0,2,24,4
2022/03/16,0,0,2,24,5
2022/03/16,0,0,0,25,1
2022/03/16,0,0,0,25,2
2022/03/16,0,0,0,25,3
2022/03/16,1,0,1,25,4
2022/03/16,0,1,0,25,5
2022/03/16,1,0,1,26,1
2022/03/16,0,0,1,26,2
2022/03/16,0,0,1,26,3
2022/03/16,1,0,2,26,4
2022/03/16,0,1,1,26,5
2022/03/17,0,0,0,1,1
2022/03/17,1,0,1,1,2
2022/03/17,0,0,1,1,3
2022/03/17,2,0,3,1,4
2022/03/17,0,5,-2,1,5
2022/03/17,0,0,0,2,1
2022/03/17,5,0,5,2,2
2022/03/17,0,0,5,2,3
2022/03/17,8,0,13,2,4
2022/03/17,0,7,6,2,5
2022/03/17,0,0,0,3,1
2022/03/17,8,0,8,3,2
2022/03/17,2,0,10,3,3
2022/03/17,4,0,14,3,4
2022/03/17,0,13,1,3,5
2022/03/17,0,0,0,4,1
2022/03/17,5,0,5,4,2
2022/03/17,7,0,12,4,3
2022/03/17,7,0,19,4,4
2022/03/17,0,14,5,4,5
2022/03/17,1,0,1,5,1
2022/03/17,9,0,10,5,2
2022/03/17,5,0,15,5,3
2022/03/17,8,0,23,5,4
2022/03/17,0,19,4,5,5
2022/03/17,1,0,1,6,1
2022/03/17,1,0,2,6,2
2022/03/17,1,0,3,6,3
2022/03/17,2,0,5,6,4
2022/03/17,0,3,2,6,5
2022/03/17,2,0,2,7,1
2022/03/17,6,0,8,7,2
2022/03/17,2,0,10,7,3
2022/03/17,11,1,20,7,4
2022/03/17,0,16,4,7,5
2022/03/17,2,0,2,8,1
2022/03/17,4,0,6,8,2
2022/03/17,0,0,6,8,3
2022/03/17,7,0,13,8,4
2022/03/17,0,12,1,8,5
2022/03/17,1,0,1,9,1
2022/03/17,4,0,5,9,2
2022/03/17,8,0,13,9,3
2022/03/17,6,0,19,9,4
2022/03/17,0,18,1,9,5
2022/03/17,0,0,0,10,1
2022/03/17,8,0,8,10,2
2022/03/17,1,0,9,10,3
2022/03/17,5,0,14,10,4
2022/03/17,0,13,1,10,5
2022/03/17,1,0,1,11,1
2022/03/17,1,0,2,11,2
2022/03/17,3,0,5,11,3
2022/03/17,1,0,6,11,4
2022/03/17,0,4,2,11,5
2022/03/17,1,0,1,12,1
2022/03/17,4,0,5,12,2
2022/03/17,0,0,5,12,3
2022/03/17,3,0,8,12,4
2022/03/17,0,9,-1,12,5
2022/03/17,3,0,3,13,1
2022/03/17,1,0,4,13,2
2022/03/17,0,0,4,13,3
2022/03/17,2,0,6,13,4
2022/03/17,0,3,3,13,5
2022/03/17,3,0,3,14,1
2022/03/17,0,0,3,14,2
2022/03/17,0,0,3,14,3
2022/03/17,2,0,5,14,4
2022/03/17,0,4,1,14,5
2022/03/17,0,0,0,15,1
2022/03/17,2,0,2,15,2
2022/03/17,1,0,3,15,3
2022/03/17,12,1,14,15,4
2022/03/17,0,10,4,15,5
2022/03/17,1,0,1,16,1
2022/03/17,4,0,5,16,2
2022/03/17,2,0,7,16,3
2022/03/17,1,0,8,16,4
2022/03/17,0,7,1,16,5
2022/03/17,3,0,3,17,1
2022/03/17,3,0,6,17,2
2022/03/17,0,0,6,17,3
2022/03/17,6,0,12,17,4
2022/03/17,0,12,0,17,5
2022/03/17,0,0,0,18,1
2022/03/17,2,0,2,18,2
2022/03/17,0,0,2,18,3
2022/03/17,6,0,8,18,4
2022/03/17,0,6,2,18,5
2022/03/17,1,0,1,19,1
2022/03/17,1,0,2,19,2
2022/03/17,1,0,3,19,3
2022/03/17,7,0,10,19,4
2022/03/17,0,9,1,19,5
2022/03/17,4,0,4,20,1
2022/03/17,0,0,4,20,2
2022/03/17,0,0,4,20,3
2022/03/17,3,0,7,20,4
2022/03/17,0,7,0,20,5
2022/03/17,2,0,2,21,1
2022/03/17,0,0,2,21,2
2022/03/17,0,0,2,21,3
2022/03/17,3,0,5,21,4
2022/03/17,0,1,4,21,5
2022/03/17,0,0,0,22,1
2022/03/17,0,0,0,22,2
2022/03/17,0,0,0,22,3
2022/03/17,1,0,1,22,4
2022/03/17,0,1,0,22,5
2022/03/17,1,0,1,23,1
2022/03/17,2,0,3,23,2
2022/03/17,0,0,3,23,3
2022/03/17,2,0,5,23,4
2022/03/17,0,4,1,23,5
2022/03/17,1,0,1,24,1
2022/03/17,0,0,1,24,2
2022/03/17,0,0,1,24,3
2022/03/17,5,0,6,24,4
2022/03/17,0,3,3,24,5
2022/03/17,0,0,0,25,1
2022/03/17,0,0,0,25,2
2022/03/17,0,0,0,25,3
2022/03/17,0,0,0,25,4
2022/03/17,0,0,0,25,5
2022/03/17,0,0,0,26,1
2022/03/17,0,0,0,26,2
2022/03/17,0,0,0,26,3
2022/03/17,0,0,0,26,4
2022/03/17,0,0,0,26,5
2022/03/18,1,0,1,1,1
2022/03/18,1,0,2,1,2
2022/03/18,1,0,3,1,3
2022/03/18,1,0,4,1,4
2022/03/18,0,5,-1,1,5
2022/03/18,0,0,0,2,1
2022/03/18,11,0,11,2,2
2022/03/18,0,0,11,2,3
2022/03/18,3,0,14,2,4
2022/03/18,0,9,5,2,5
2022/03/18,2,0,2,3,1
2022/03/18,5,0,7,3,2
2022/03/18,5,0,12,3,3
2022/03/18,4,0,16,3,4
2022/03/18,0,14,2,3,5
2022/03/18,1,0,1,4,1
2022/03/18,4,0,5,4,2
2022/03/18,6,0,11,4,3
2022/03/18,1,0,12,4,4
2022/03/18,0,9,3,4,5
2022/03/18,0,0,0,5,1
2022/03/18,2,0,2,5,2
2022/03/18,3,0,5,5,3
2022/03/18,4,0,9,5,4
2022/03/18,0,9,0,5,5
2022/03/18,3,0,3,6,1
2022/03/18,4,0,7,6,2
2022/03/18,1,0,8,6,3
2022/03/18,6,0,14,6,4
2022/03/18,0,7,7,6,5
2022/03/18,0,0,0,7,1
2022/03/18,6,0,6,7,2
2022/03/18,1,0,7,7,3
2022/03/18,2,0,9,7,4
2022/03/18,0,9,0,7,5
2022/03/18,1,0,1,8,1
2022/03/18,2,0,3,8,2
2022/03/18,2,0,5,8,3
2022/03/18,11,0,16,8,4
2022/03/18,0,16,0,8,5
2022/03/18,1,0,1,9,1
2022/03/18,2,0,3,9,2
2022/03/18,1,0,4,9,3
2022/03/18,5,0,9,9,4
2022/03/18,0,9,0,9,5
2022/03/18,4,0,4,10,1
2022/03/18,2,0,6,10,2
2022/03/18,3,0,9,10,3
2022/03/18,8,0,17,10,4
2022/03/18,0,12,5,10,5
2022/03/18,0,0,0,11,1
2022/03/18,1,0,1,11,2
2022/03/18,0,0,1,11,3
2022/03/18,2,0,3,11,4
2022/03/18,0,3,0,11,5
2022/03/18,2,0,2,12,1
2022/03/18,2,0,4,12,2
2022/03/18,0,0,4,12,3
2022/03/18,1,0,5,12,4
2022/03/18,0,4,1,12,5
2022/03/18,2,0,2,13,1
2022/03/18,5,0,7,13,2
2022/03/18,0,0,7,13,3
2022/03/18,3,0,10,13,4
2022/03/18,0,5,5,13,5
2022/03/18,2,0,2,14,1
2022/03/18,1,0,3,14,2
2022/03/18,2,0,5,14,3
2022/03/18,3,0,8,14,4
2022/03/18,0,6,2,14,5
2022/03/18,7,0,7,15,1
2022/03/18,4,0,11,15,2
2022/03/18,2,0,13,15,3
2022/03/18,4,0,17,15,4
2022/03/18,0,10,7,15,5
2022/03/18,1,0,1,16,1
2022/03/18,2,0,3,16,2
2022/03/18,0,0,3,16,3
2022/03/18,7,0,10,16,4
2022/03/18,0,5,5,16,5
2022/03/18,,0,,17,1
2022/03/18,,,,17,2
2022/03/18,,,,17,3
2022/03/18,,,,17,4
2022/03/18,,,,17,5
2022/03/18,0,0,0,18,1
2022/03/18,0,0,0,18,2
2022/03/18,0,0,0,18,3
2022/03/18,3,0,3,18,4
2022/03/18,0,3,0,18,5
2022/03/18,1,0,1,19,1
2022/03/18,2,0,3,19,2
2022/03/18,1,0,4,19,3
2022/03/18,9,0,13,19,4
2022/03/18,0,11,2,19,5
2022/03/18,0,0,0,20,1
2022/03/18,0,0,0,20,2
2022/03/18,0,0,0,20,3
2022/03/18,2,0,2,20,4
2022/03/18,0,1,1,20,5
2022/03/18,1,0,1,21,1
2022/03/18,0,0,1,21,2
2022/03/18,0,0,1,21,3
2022/03/18,7,0,8,21,4
2022/03/18,0,4,4,21,5
2022/03/18,2,0,2,22,1
2022/03/18,1,0,3,22,2
2022/03/18,0,0,3,22,3
2022/03/18,4,0,7,22,4
2022/03/18,0,5,2,22,5
2022/03/18,1,0,1,23,1
2022/03/18,0,0,1,23,2
2022/03/18,0,0,1,23,3
2022/03/18,4,0,5,23,4
2022/03/18,0,4,1,23,5
2022/03/18,1,0,1,24,1
2022/03/18,2,0,3,24,2
2022/03/18,0,0,3,24,3
2022/03/18,3,0,6,24,4
2022/03/18,0,6,0,24,5
2022/03/18,0,0,0,25,1
2022/03/18,1,0,1,25,2
2022/03/18,0,0,1,25,3
2022/03/18,2,0,3,25,4
2022/03/18,0,2,1,25,5
2022/03/18,1,0,1,26,1
2022/03/18,0,0,1,26,2
2022/03/18,0,0,1,26,3
2022/03/18,0,0,1,26,4
2022/03/18,0,0,1,26,5
2022/03/19,0,0,0,1,1
2022/03/19,4,0,4,1,2
2022/03/19,1,0,5,1,3
2022/03/19,0,0,5,1,4
2022/03/19,0,3,2,1,5
2022/03/19,0,0,0,2,1
2022/03/19,1,0,1,2,2
2022/03/19,1,0,2,2,3
2022/03/19,4,0,6,2,4
2022/03/19,0,2,4,2,5
2022/03/19,1,0,1,3,1
2022/03/19,1,0,2,3,2
2022/03/19,3,0,5,3,3
2022/03/19,3,0,8,3,4
2022/03/19,1,6,3,3,5
2022/03/19,2,0,2,4,1
2022/03/19,4,0,6,4,2
2022/03/19,2,0,8,4,3
2022/03/19,2,0,10,4,4
2022/03/19,0,4,6,4,5
2022/03/19,1,0,1,5,1
2022/03/19,2,0,3,5,2
2022/03/19,1,0,4,5,3
2022/03/19,2,0,6,5,4
2022/03/19,0,5,1,5,5
2022/03/19,2,0,2,6,1
2022/03/19,5,0,7,6,2
2022/03/19,2,0,9,6,3
2022/03/19,5,0,14,6,4
2022/03/19,0,11,3,6,5
2022/03/19,0,0,0,7,1
2022/03/19,1,0,1,7,2
2022/03/19,1,0,2,7,3
2022/03/19,7,0,9,7,4
2022/03/19,0,7,2,7,5
2022/03/19,0,0,0,8,1
2022/03/19,3,0,3,8,2
2022/03/19,0,0,3,8,3
2022/03/19,2,0,5,8,4
2022/03/19,0,5,0,8,5
2022/03/19,2,0,2,9,1
2022/03/19,4,0,6,9,2
2022/03/19,1,0,7,9,3
2022/03/19,12,0,19,9,4
2022/03/19,0,15,4,9,5
2022/03/19,0,0,0,10,1
2022/03/19,2,1,1,10,2
2022/03/19,1,0,2,10,3
2022/03/19,8,0,10,10,4
2022/03/19,1,13,-2,10,5
2022/03/19,3,0,3,11,1
2022/03/19,2,0,5,11,2
2022/03/19,0,0,5,11,3
2022/03/19,8,0,13,11,4
2022/03/19,0,9,4,11,5
2022/03/19,0,0,0,12,1
2022/03/19,2,0,2,12,2
2022/03/19,0,0,2,12,3
2022/03/19,7,0,9,12,4
2022/03/19,0,5,4,12,5
2022/03/19,0,0,0,13,1
2022/03/19,2,0,2,13,2
2022/03/19,0,0,2,13,3
2022/03/19,5,0,7,13,4
2022/03/19,0,7,0,13,5
2022/03/19,2,0,2,14,1
2022/03/19,2,0,4,14,2
2022/03/19,2,0,6,14,3
2022/03/19,4,0,10,14,4
2022/03/19,0,9,1,14,5
2022/03/19,2,0,2,15,1
2022/03/19,3,0,5,15,2
2022/03/19,0,0,5,15,3
2022/03/19,6,0,11,15,4
2022/03/19,0,6,5,15,5
2022/03/19,4,0,4,16,1
2022/03/19,1,0,2,16,2
2022/03/19,0,0,2,16,3
2022/03/19,4,0,6,16,4
2022/03/19,0,6,0,16,5
2022/03/19,1,0,1,17,1
2022/03/19,3,0,7,17,2
2022/03/19,0,0,7,17,3
2022/03/19,4,0,11,17,4
2022/03/19,0,8,3,17,5
2022/03/19,1,0,1,18,1
2022/03/19,1,0,2,18,2
2022/03/19,1,0,3,18,3
2022/03/19,12,0,15,18,4
2022/03/19,0,14,1,18,5
2022/03/19,0,0,0,19,1
2022/03/19,0,0,0,19,2
2022/03/19,4,0,4,19,3
2022/03/19,5,0,9,19,4
2022/03/19,0,6,3,19,5
2022/03/19,1,0,1,20,1
2022/03/19,1,0,2,20,2
2022/03/19,0,0,2,20,3
2022/03/19,2,0,4,20,4
2022/03/19,0,3,1,20,5
2022/03/19,1,0,1,21,1
2022/03/19,2,0,3,21,2
2022/03/19,1,0,4,21,3
2022/03/19,1,0,5,21,4
2022/03/19,0,4,1,21,5
2022/03/19,0,0,0,22,1
2022/03/19,0,0,0,22,2
2022/03/19,0,0,0,22,3
2022/03/19,0,0,0,22,4
2022/03/19,0,0,0,22,5
2022/03/19,1,0,1,23,1
2022/03/19,1,0,2,23,2
2022/03/19,0,0,2,23,3
2022/03/19,1,0,3,23,4
2022/03/19,0,4,-1,23,5
2022/03/19,1,0,1,24,1
2022/03/19,0,0,1,24,2
2022/03/19,0,0,1,24,3
2022/03/19,1,0,2,24,4
2022/03/19,0,1,1,24,5
2022/03/19,0,0,0,25,1
2022/03/19,0,0,0,25,2
